year,country,iso_code,commodity,production_tonnes,yield_t_per_ha,yoy_production_pct,yoy_yield_pct,yield_deviation_flag,enso_analog_flag,climate_region,section,provenance,yield_provenance
2011,World,OWID_WRL,Avocado,4092747.2,7.9,7.65,0.127,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2012,World,OWID_WRL,Avocado,4338207.5,7.99,6.0,1.139,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2013,World,OWID_WRL,Avocado,4566843.5,8.01,5.27,0.25,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2014,World,OWID_WRL,Avocado,5091784.0,8.24,11.49,2.871,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2015,World,OWID_WRL,Avocado,5515354.5,8.41,8.32,2.063,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2016,World,OWID_WRL,Avocado,6029951.5,8.51,9.33,1.189,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2017,World,OWID_WRL,Avocado,6378614.0,8.43,5.78,-0.94,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2018,World,OWID_WRL,Avocado,6880608.0,8.59,7.87,1.898,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2019,World,OWID_WRL,Avocado,7296464.0,8.37,6.04,-2.561,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2020,World,OWID_WRL,Avocado,8266199.0,8.3,13.29,-0.836,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2021,World,OWID_WRL,Avocado,8838169.0,8.35,6.92,0.602,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2022,World,OWID_WRL,Avocado,9581225.0,8.67,8.41,3.832,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2023,World,OWID_WRL,Avocado,10672980.0,9.1,11.39,4.96,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2024,World,OWID_WRL,Avocado,11226086.0,9.52,5.18,4.615,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2000,Peru,PER,Avocado,83671.0,,,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2001,Peru,PER,Avocado,93459.0,,11.7,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2002,Peru,PER,Avocado,94236.0,,0.83,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2003,Peru,PER,Avocado,99975.0,,6.09,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2004,Peru,PER,Avocado,108460.0,,8.49,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2005,Peru,PER,Avocado,103417.0,,-4.65,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2006,Peru,PER,Avocado,113259.0,,9.52,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2007,Peru,PER,Avocado,121720.0,,7.47,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2008,Peru,PER,Avocado,136303.0,,11.98,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2009,Peru,PER,Avocado,157415.0,,15.49,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2010,Peru,PER,Avocado,184370.0,,17.12,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2011,Peru,PER,Avocado,213662.0,,15.89,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2012,Peru,PER,Avocado,268525.28,,25.68,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2013,Peru,PER,Avocado,288387.0,,7.4,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2014,Peru,PER,Avocado,349317.0,,21.13,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2015,Peru,PER,Avocado,367110.0,,5.09,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2016,Peru,PER,Avocado,455394.16,,24.05,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2017,Peru,PER,Avocado,466796.0,,2.5,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2018,Peru,PER,Avocado,504839.75,,8.15,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2019,Peru,PER,Avocado,571991.9,,13.3,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2020,Peru,PER,Avocado,672232.25,,17.52,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2021,Peru,PER,Avocado,776650.94,,15.53,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2022,Peru,PER,Avocado,798319.1,,2.79,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2023,Peru,PER,Avocado,813000.0,12.5,1.84,,0,1,Peru-Coastal-Hass-Valleys,Section 3,USDA GAIN PE2025-0005 — year 2023,USDA GAIN PE2025-0005 — year 2023
2024,Peru,PER,Avocado,804000.0,12.0,-1.11,-4.0,0,1,Peru-Coastal-Hass-Valleys,Section 3,USDA GAIN PE2025-0005 — year 2024,USDA GAIN PE2025-0005 — year 2024
2025,Peru,PER,Avocado,844000.0,12.1,4.98,0.833,0,0,Peru-Coastal-Hass-Valleys,Section 3,USDA GAIN PE2025-0005 — year 2025,USDA GAIN PE2025-0005 — year 2025
