year,country,area_harvested_1000ha,imports_1000mt,exports_1000mt,ending_stocks_1000mt,yoy_exports_pct,yoy_stocks_pct,psd_production_1000mt,owid_production_tonnes,divergence_pct,divergence_flag,enso_analog_flag,provenance
2002,CMR,,,,,,,,125000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2002
2003,CMR,,,,,,,,154965.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2003
2004,CMR,,,,,,,,166754.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2004
2005,CMR,,,,,,,,140000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2005
2006,CMR,,,,,,,,164553.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2006
2007,CMR,,,,,,,,212619.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2007
2008,CMR,,,,,,,,229203.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2008
2009,CMR,,,,,,,,235500.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2009
2010,CMR,,,,,,,,264077.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2010
2011,CMR,,,,,,,,240000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2011
2012,CMR,,,,,,,,268941.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2012
2013,CMR,,,,,,,,275000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2013
2014,CMR,,,,,,,,269228.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2014
2015,CMR,,,,,,,,310000.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2015
2016,CMR,,,,,,,,344752.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2016
2017,CMR,,,,,,,,322247.8,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2017
2018,CMR,,,,,,,,317530.3,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2018
2019,CMR,,,,,,,,301255.2,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2019
2020,CMR,,,,,,,,310077.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2020
2021,CMR,,,,,,,,295000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2021
2022,CMR,,,,,,,,295000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2022
2023,CMR,,,,,,,,300000.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2023
2024,CMR,,,,,,,,320000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2024
2000,NGA,,,,,,,,338000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2000
